Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01452,MA,167297,194903,215232,247867,268660,280553,281992,260926,239450,233616,228133,210464,204699,217941,227873,235887,251397,275350,285922,298695,337368,372796,407875,440606,461988,468013
01453,MA,170236,199116,224756,255729,278634,293824,286165,272075,244073,231138,221264,205528,196171,208025,215925,225483,243167,262520,278996,291384,330225,368055,405500,444203,473783,482471
01460,MA,301984,348020,376883,401593,435148,451217,423190,411345,394422,376484,379326,368752,374619,400184,418161,444071,465017,486589,498347,503948,554926,622429,675272,732623,770448,767450
01462,MA,194648,226278,256482,288702,307391,328111,318098,296807,270023,254346,250740,233195,218743,234830,244721,256042,276487,299757,316815,334336,372560,416586,456610,501303,539490,543119
01463,MA,241022,274733,301163,329073,353268,370947,349566,338314,314559,299952,298144,284004,283957,290585,301154,321715,339716,361855,376922,387302,430865,482891,517064,556256,588687,593828
01464,MA,223617,256963,290415,310152,343997,362116,347653,338285,307845,286468,292638,261848,258496,272719,283067,302312,322552,341202,361976,373955,408205,459027,490757,528475,557620,566315
01468,MA,147077,174201,187224,212973,236384,255047,248746,235705,210516,193607,185668,169069,158655,168591,179349,187710,201190,218792,231184,242773,279934,317026,352415,384064,408810,411347
01469,MA,179155,206889,233200,249345,270087,281833,270989,259167,238549,232919,222189,213258,217272,230168,239418,256431,275995,295368,312592,323808,357148,401746,433295,468707,494868,501137
01473,MA,196220,233993,255262,289622,307740,328460,319580,298997,274349,264532,244614,232556,221615,235678,245297,256544,271484,291547,306199,325386,365600,405382,447099,488157,523411,526394
01474,MA,185735,224153,243942,264859,281592,294205,288858,279264,255220,258393,239813,224608,218680,235226,245561,258963,276988,295099,314095,325398,357811,397125,441982,476535,505035,509043
01475,MA,131475,152540,168960,194583,210324,225453,220962,207744,185983,173785,171094,157373,147940,156025,161840,170234,183787,201502,214242,226831,258223,297239,324905,355626,378942,388020
01501,MA,173626,194896,227169,255554,282291,301128,284642,270214,242566,234187,228572,216063,204535,217943,224975,235643,251618,267867,282085,293879,332092,362242,395365,433102,460915,463218
01503,MA,299724,353638,382543,402420,432056,461757,446269,417653,380574,376562,344726,343639,320613,337878,348344,362780,390383,422790,432867,442333,484293,531806,577819,630262,670739,683634
01504,MA,191457,225417,254681,281729,312152,333656,318088,299673,268777,249855,248571,231333,219169,233510,244952,257460,272825,291468,301730,318257,354235,387706,422745,456777,480956,487409
01505,MA,252794,296359,328968,361866,391765,419766,402646,379208,346429,344987,346071,341232,309452,327474,341768,349661,367678,392380,403155,406966,450081,494079,555931,610970,638432,644377
01506,MA,148765,162933,184521,211512,234073,255616,249830,238028,219809,206698,206199,198730,183626,194992,202400,212292,225881,241671,253424,257219,287887,328594,350203,377001,399184,395370
01507,MA,198473,224265,260139,293622,320398,346465,336920,316964,288931,270276,272047,250655,238898,253761,259771,271434,286411,303728,321290,324647,358818,402832,438000,476027,510599,519713
01510,MA,178684,206587,225972,262886,285997,305349,295798,277049,246501,232142,226258,209179,197142,212032,221154,230430,248192,266283,288213,299242,335769,366110,397372,437812,464533,464058
01515,MA,168718,184682,216410,244160,272025,289910,281182,266089,241284,225483,222922,210699,196141,210274,213199,221165,233572,254601,267588,273184,308583,335959,370160,398649,416105,416826
01516,MA,207939,236714,269994,303814,337971,357412,349042,328858,295956,275563,275528,261454,248061,261568,271530,283941,302374,324133,337960,343870,381202,425866,467154,509420,539778,545384
01518,MA,203330,219460,263220,300985,324408,348760,340786,323718,297839,280407,280255,264772,251170,266206,269041,286731,299414,314222,331435,339555,373230,416929,451558,493741,520076,524711
01519,MA,285464,330830,367855,406493,443007,467887,447549,420855,384499,375492,367614,350937,331190,352791,361635,375373,388791,417608,430456,435401,479791,538521,589232,647411,683519,700400
01520,MA,137425,158115,178711,200910,218465,231964,224814,216029,196575,186736,202994,231847,266493,276647,280107,293980,308948,330428,343774,356090,393427,435382,470481,514573,548294,556173
01521,MA,114459,130487,150551,173138,199140,230488,225514,218111,197493,198514,187976,168748,170772,176877,180845,189734,195634,205204,216615,228046,252538,279952,308044,335536,357711,362348
01522,MA,121246,143310,159951,177824,193091,207607,201712,191847,174253,165761,183250,213185,225010,240542,243215,265612,297242,321936,333627,346410,386968,424187,464524,511407,545198,546564
01523,MA,232920,263374,297009,328653,358079,380464,371629,347689,318629,301822,296423,285047,261640,270309,284806,297867,315291,334541,356525,370151,413239,458227,496278,540819,569933,570566
01524,MA,167842,189641,218024,257048,279784,301235,293482,277205,250901,232624,225459,211781,200937,213698,214935,227990,240364,257493,268265,288203,323166,358281,397559,425791,448634,451519
01527,MA,185453,211055,246483,277400,303193,329110,308369,292307,259635,250044,245820,225397,214040,228434,239113,253095,266986,286052,303955,315634,351391,384198,423197,460235,485116,497026
01529,MA,206679,246230,271583,307505,339574,364322,347450,327666,296566,281354,282193,265759,242559,255666,256335,271524,289888,310245,321093,327868,366569,403612,442972,478915,505026,507917
01531,MA,160830,176679,191024,227684,258547,274608,270784,257084,235115,225104,230983,210379,208934,232057,241065,253025,259377,271634,283688,295212,327860,357222,392332,423325,451211,444722
01532,MA,289195,331740,373840,400740,423422,448446,436249,413302,369935,375959,375600,363612,338932,361772,374181,388318,407692,429367,450570,459639,496720,548343,598798,661355,694130,699601
01534,MA,207410,240890,275013,311331,335654,356095,340447,321234,295437,280658,276913,262075,246734,259403,266460,278264,294142,317184,330629,336920,369875,413330,452620,493805,524456,537568
01535,MA,147102,163601,186780,212060,238765,257960,251233,236957,215594,200901,188455,182642,173089,183868,195230,202916,217282,229015,240563,246178,276710,304623,337908,362904,386703,380383
01536,MA,238456,278406,311255,345434,375974,398962,380095,356715,322845,303402,298198,281659,262949,278189,291714,299316,314083,337147,350504,358735,400272,443069,484782,532484,565807,579941
01540,MA,161069,179020,210314,237478,260689,283692,270939,257665,232503,227948,203964,206005,191103,194529,214076,220528,234101,247167,259442,269881,303062,334008,361276,397014,424853,429618
01541,MA,233298,272345,300117,335518,351595,383269,371004,356774,326739,319746,317809,301450,278754,300949,310550,321224,339866,359685,379781,397922,439411,498805,536043,587073,618814,623873
01542,MA,199330,225548,265107,301595,328426,354197,344078,324971,297203,273980,267961,253836,236598,251426,254468,268993,286780,305383,316562,335484,375716,413570,459587,491982,509991,515868
01543,MA,144186,168895,191017,210657,229148,243826,240404,228057,200580,184541,195608,215394,213552,232732,248588,264930,289251,308171,319796,331104,368315,416030,461875,509365,539015,541405
01545,MA,192840,224944,251074,275754,298485,316764,304419,286206,254471,256083,280311,318248,339477,359930,374065,391049,416132,437243,460082,459764,494724,557714,605260,666857,705433,719557
